Model,Mean_RMSE,Std_RMSE
Linear Regression,0.055366798952507734,0.01190768498002953
"MLP (128,64,32)",0.11118413842996155,0.03269151988504182
Residual QRC (Ideal),0.05528927654023297,0.01211254903147045
