QPU/Config,Brightness,Transmittance,RMSE,Time_s
ascella,0.1033,0.244,0.18543189024556106,45.25767421722412
belenos,0.2315,0.512,0.19070687660885646,29.179731369018555
ideal,1.0,1.0,0.18740350318876034,45.76348161697388
